goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8                                                               593.8µ ±  3%
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8                                                             580.2µ ±  2%
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                                                                              1.664µ ±  5%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                             613.7µ ±  4%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                           611.5µ ±  2%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                                                                            2.194µ ±  3%
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                        626.6µ ±  5%
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                      593.6µ ±  2%
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                                                                       2.070µ ±  1%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                              2.019µ ±  6%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                            2.072µ ±  2%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                             666.4µ ±  2%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                           590.6µ ±  4%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                                                                            2.040µ ±  1%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     15.90µ ±  2%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   19.73µ ±  3%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    669.6µ ±  3%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  589.4µ ±  2%
