goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1736	    592045 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    2013	    591722 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1950	    594713 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    2061	    586907 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    2001	    608134 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1999	    592866 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1980	    584406 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1958	    631407 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    1963	    613325 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8         	    2048	    603443 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2162	    603823 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2004	    580477 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2113	    565117 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2047	    573081 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2103	    590203 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    1802	    581154 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    1950	    579863 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2113	    579727 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2115	    576875 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8       	    2088	    584020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  716077	      1674 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  743316	      1640 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  699033	      1644 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  732181	      1663 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  693909	      1753 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  722949	      1647 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  708362	      1665 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  738390	      1653 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  707982	      1666 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                        	  720439	      1750 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8       	    1590	    630123 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8       	    1896	    617441 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8       	    1993	    609563 ns/op	       0 B/op	       0 allocs/op
