goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkUnicodeIs/IsSpace/matching_only         	26920653	        45.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	26866341	        45.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	27448575	        44.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	26739400	        45.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	27871987	        45.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	27372279	        44.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	25796972	        45.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	27102260	        45.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	26256212	        45.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/matching_only         	26474202	        43.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     733	   1627386 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     730	   1614405 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     730	   1614413 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     745	   1657189 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     718	   1645284 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     750	   1693088 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     708	   1634618 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     712	   1618373 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     739	   1667590 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSpace/all_valid_UTF8        	     748	   1728520 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	20781100	        54.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	22148245	        54.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	22262208	        56.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	22322096	        55.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	21483264	        55.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	21897010	        57.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	21378676	        55.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	21514914	        57.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	20300416	        54.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/matching_only         	22354512	        57.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     750	   1615844 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     718	   1629511 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     742	   1701005 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     717	   1608466 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     726	   1620864 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     724	   1684254 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     703	   1739379 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     747	   1649998 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     741	   1706577 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsTitle/all_valid_UTF8        	     716	   1641077 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  282992	      4361 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  281233	      4335 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  277819	      4594 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  272834	      4628 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  270954	      4568 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  277394	      4630 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  256508	      4351 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  268089	      4307 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  277470	      4392 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/matching_only          	  276674	      4326 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     600	   1969599 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     614	   1970954 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     595	   1941257 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     586	   2051766 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     580	   2020734 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     626	   2096747 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     579	   1978758 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     608	   1974167 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     626	   2017893 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsMark/all_valid_UTF8         	     580	   1955185 ns/op	       0 B/op	       0 allocs/op
